"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"356818","Jo5048","Honkavaarantie P","62.62186031893979","29.465252909819124","2","","0","","426","","","0","","3"
"357217","Jo5051","Käsämä Vaiviontie E","62.636222756562255","29.372781071822224","2","","0","","426","","","0","","3"
"357518","Jo5052","Maaherrantie pohjoispää","62.71198926025443","29.54418495671054","2","","0","","426","","","0","","3"
"357718","Jo5054","Pärnävaarantie-Välikangas E","62.63459583621894","29.584520546509125","2","","0","","426","","","0","","3"
"357817","Jo5053","Pärnävaarantie-Välikangas L","62.63455802738795","29.58457993696742","2","","0","","426","","","0","","3"
"360119","Jo0397","Oravanmarjantie L","62.62625233474907","29.827095406203785","1","","0","","167","","","0","","3"
"360120","Jo0398","Koillispuiston kenttä","62.62647456107323","29.818161878745553","1","","0","","167","","","0","","3"
"366423","Jo0399","Mehtimäki E","62.60135822228304","29.747627828282866","1","","0","","167","","","0","","3"
"375718","Jo5055","Pärnävaarantie-Vaiviontie th","62.657754281830954","29.492407593884604","2","","0","","426","","","0","","3"
"379418","Jo0400","Kirkonmäki P","62.5960876487674","29.75187320677138","1","","0","","167","","","0","","3"
"379518","Jo0401","Kirkonmäki E","62.595965605905995","29.75176591841049","1","","0","","167","","","0","","3"
"380318","Jo0402","Suvantokatu P","62.59897969672776","29.754514482476516","1","","0","","137","","","0","","3"
"380418","Jo0403","Suvantokatu E","62.599143017545586","29.754670050599216","1","","0","","167","","","0","","3"
"380518","Jo5059","Pärnävaarantie","62.64939674821233","29.51020136849191","2","","0","","426","","","0","","4"
"380718","Jo0404","Hammaslahti","62.43342542357143","29.97054601293516","2","","0","","167","","","0","","3"
"412518","Jo0405","Vainoniemi P","62.60333988872449","29.724655877043322","1","","0","","167","","","0","","3"
"412618","Jo0406","Jalavatie E","62.60618311990976","29.72487459737312","1","","0","","167","","","0","","3"
"412718","Jo0407","Jalavatie P","62.606639002822305","29.72518208991247","1","","0","","167","","","0","","3"
"412719","Jo0408","Linnunlahti E","62.60859893089207","29.72707910116231","1","","0","","167","","","0","","3"
"412818","Jo0409","Linnunlahti P","62.60979720658324","29.72882031383846","1","","0","","167","","","0","","3"
"420118","Jo2093","Kuurnantie I","62.705130045199695","29.892106488818193","2","","0","","276","","","0","","3"
"420119","Jo2096","Kuusikuja th E","62.687128731131","29.919925120571786","2","","0","","276","","","0","","3"
"420218","Jo2094","Kuurnankorva E","62.69494665968239","29.903718867171385","2","","0","","276","","","0","","3"
"420318","Jo2095","Kuurnankorva P","62.69507223314295","29.903713136686456","2","","0","","276","","","0","","3"
"420418","Jo2097","Kuusikuja th P","62.68732367945532","29.919670496565725","2","","0","","276","","","0","","3"
"427519","Jo5060","Pärnävaarantie th","62.64679298426012","29.524195228900915","2","","0","","426","","","0","","3"
"429818","","Kunnasniementie th","62.775348439145745","29.54743184933455","3","","0","","607","","","0","","3"
"434018","Jo5061","Hopri P","62.6339526300367","29.546319124485695","2","","0","","426","","","0","","3"
"458918","Jo0412","Jukolankatu I","62.61433471286986","29.810660948752762","1","","0","","167","","","0","","3"
"459018","Jo0413","Kenttämiehentie L","62.60304520891191","29.74600045565531","1","","0","","167","","","0","","3"
"459118","Jo0414","Kenttämiehentie I","62.603007215578856","29.746204771459038","1","","0","","167","","","0","","3"
